"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: K"
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate","thrpt",1,12,1805.715500,55.780978,"MB/sec",16
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate.norm","thrpt",1,12,5096.018901,0.000587,"B/op",16
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.count","thrpt",1,12,100.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.time","thrpt",1,12,56.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.writeKCustomer","thrpt",1,12,56871.472458,1570.665298,"ops/s",128
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate","thrpt",1,12,1252.840117,34.627349,"MB/sec",128
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.alloc.rate.norm","thrpt",1,12,23104.123837,0.003607,"B/op",128
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.count","thrpt",1,12,84.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.writeKCustomer:gc.time","thrpt",1,12,44.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.writeKOrder","thrpt",1,12,480051.643530,11232.675284,"ops/s",1
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate","thrpt",1,12,2262.921789,53.074707,"MB/sec",1
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate.norm","thrpt",1,12,4944.014634,0.000346,"B/op",1
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.count","thrpt",1,12,125.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.time","thrpt",1,12,67.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.writeKOrder","thrpt",1,12,43666.803245,1184.778051,"ops/s",16
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate","thrpt",1,12,1038.229676,28.171317,"MB/sec",16
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate.norm","thrpt",1,12,24936.161341,0.004416,"B/op",16
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.count","thrpt",1,12,84.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.time","thrpt",1,12,42.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.writeKOrder","thrpt",1,12,4617.248420,132.239946,"ops/s",128
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate","thrpt",1,12,777.033452,22.263543,"MB/sec",128
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.alloc.rate.norm","thrpt",1,12,176505.526037,0.044655,"B/op",128
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.count","thrpt",1,12,53.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.writeKOrder:gc.time","thrpt",1,12,27.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.writeKPoint","thrpt",1,12,2968387.767613,60608.351469,"ops/s",1
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate","thrpt",1,12,7336.102607,149.803723,"MB/sec",1
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate.norm","thrpt",1,12,2592.002366,0.000050,"B/op",1
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.count","thrpt",1,12,297.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.time","thrpt",1,12,170.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.writeKPoint","thrpt",1,12,625933.040401,15247.821460,"ops/s",16
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate","thrpt",1,12,2229.671494,54.269293,"MB/sec",16
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate.norm","thrpt",1,12,3736.011220,0.000265,"B/op",16
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.count","thrpt",1,12,124.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.time","thrpt",1,12,63.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.writeKPoint","thrpt",1,12,80704.492609,1808.806110,"ops/s",128
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate","thrpt",1,12,1069.935154,24.016523,"MB/sec",128
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.alloc.rate.norm","thrpt",1,12,13904.087230,0.002028,"B/op",128
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.count","thrpt",1,12,70.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.writeKPoint:gc.time","thrpt",1,12,37.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.writeKUnicodeList","thrpt",1,12,235243.873127,4829.065642,"ops/s",1
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate","thrpt",1,12,1796.181155,36.912735,"MB/sec",1
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate.norm","thrpt",1,12,8008.029892,0.000655,"B/op",1
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.count","thrpt",1,12,120.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.time","thrpt",1,12,61.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.writeKUnicodeList","thrpt",1,12,12086.998469,448.239536,"ops/s",16
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate","thrpt",1,12,1048.659517,38.927084,"MB/sec",16
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate.norm","thrpt",1,12,90992.584509,0.023906,"B/op",16
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.count","thrpt",1,12,85.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.time","thrpt",1,12,43.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.writeKUnicodeList","thrpt",1,12,1456.548839,33.259847,"ops/s",128
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate","thrpt",1,12,987.025784,22.511878,"MB/sec",128
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.alloc.rate.norm","thrpt",1,12,710724.832876,0.118290,"B/op",128
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.count","thrpt",1,12,66.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.writeKUnicodeList:gc.time","thrpt",1,12,34.000000,NaN,"ms",128
"lab.jvm.serialization.SerializationBench.readAnalytics","thrpt",1,12,11536.573189,257.048928,"ops/s",
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.alloc.rate","thrpt",1,12,1148.747662,25.635886,"MB/sec",
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.alloc.rate.norm","thrpt",1,12,104432.612349,0.016494,"B/op",
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.count","thrpt",1,12,93.000000,NaN,"counts",
