"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.SerializationBench.writeEnumHolder","thrpt",1,24,1124390.677134,26978.382885,"ops/s"
"lab.jvm.serialization.SerializationBench.writeEnumHolder:gc.alloc.rate","thrpt",1,24,3370.711935,80.871375,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeEnumHolder:gc.alloc.rate.norm","thrpt",1,24,3144.003113,0.000073,"B/op"
"lab.jvm.serialization.SerializationBench.writeEnumHolder:gc.count","thrpt",1,24,500.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeEnumHolder:gc.time","thrpt",1,24,474.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeGraph","thrpt",1,24,506142.057227,43817.257971,"ops/s"
"lab.jvm.serialization.SerializationBench.writeGraph:gc.alloc.rate","thrpt",1,24,2436.115573,210.881058,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeGraph:gc.alloc.rate.norm","thrpt",1,24,5048.007011,0.000676,"B/op"
"lab.jvm.serialization.SerializationBench.writeGraph:gc.count","thrpt",1,24,423.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeGraph:gc.time","thrpt",1,24,451.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeMixedArray","thrpt",1,24,266714.112041,25308.754926,"ops/s"
"lab.jvm.serialization.SerializationBench.writeMixedArray:gc.alloc.rate","thrpt",1,24,1993.734971,189.194722,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeMixedArray:gc.alloc.rate.norm","thrpt",1,24,7840.013325,0.001297,"B/op"
"lab.jvm.serialization.SerializationBench.writeMixedArray:gc.count","thrpt",1,24,367.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeMixedArray:gc.time","thrpt",1,24,363.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeOrder","thrpt",1,24,223871.594699,5079.653890,"ops/s"
"lab.jvm.serialization.SerializationBench.writeOrder:gc.alloc.rate","thrpt",1,24,1758.903956,39.948178,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeOrder:gc.alloc.rate.norm","thrpt",1,24,8240.015652,0.000365,"B/op"
"lab.jvm.serialization.SerializationBench.writeOrder:gc.count","thrpt",1,24,325.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeOrder:gc.time","thrpt",1,24,284.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writePoint","thrpt",1,24,1304831.828795,96262.979720,"ops/s"
"lab.jvm.serialization.SerializationBench.writePoint:gc.alloc.rate","thrpt",1,24,3403.902731,251.128529,"MB/sec"
"lab.jvm.serialization.SerializationBench.writePoint:gc.alloc.rate.norm","thrpt",1,24,2736.002710,0.000195,"B/op"
"lab.jvm.serialization.SerializationBench.writePoint:gc.count","thrpt",1,24,528.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writePoint:gc.time","thrpt",1,24,562.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeStringList","thrpt",1,24,64627.281961,6872.028382,"ops/s"
"lab.jvm.serialization.SerializationBench.writeStringList:gc.alloc.rate","thrpt",1,24,960.801216,102.169724,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeStringList:gc.alloc.rate.norm","thrpt",1,24,15592.055346,0.006497,"B/op"
"lab.jvm.serialization.SerializationBench.writeStringList:gc.count","thrpt",1,24,214.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeStringList:gc.time","thrpt",1,24,191.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeUnicodeList","thrpt",1,24,82478.765964,6439.902220,"ops/s"
"lab.jvm.serialization.SerializationBench.writeUnicodeList:gc.alloc.rate","thrpt",1,24,1116.104870,87.174677,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeUnicodeList:gc.alloc.rate.norm","thrpt",1,24,14192.042869,0.003628,"B/op"
"lab.jvm.serialization.SerializationBench.writeUnicodeList:gc.count","thrpt",1,24,207.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeUnicodeList:gc.time","thrpt",1,24,206.000000,NaN,"ms"
